time,value
1.15025,0.88153237
1.1503,0.88690537
1.15035,0.89831841
1.1504,0.89188933
1.15045,0.88137794
1.1505,0.89035153
1.15055,0.90514278
1.1506,0.90425962
1.15065,0.89578015
1.1507,0.90196836
1.15075,0.89400768
1.1508,0.87044662
1.15085,0.87580729
1.1509,0.89432263
1.15095,0.88819617
1.151,0.89560103
1.15105,0.91776633
1.1511,0.91443747
1.15115,0.87947577
1.1512,0.87895083
1.15125,0.89477962
1.1513,0.87392366
1.15135,0.87591231
1.1514,0.90332091
1.15145,0.89797878
1.1515,0.88975245
1.15155,0.89859015
1.1516,0.90477222
1.15165,0.88058746
1.1517,0.88066775
1.15175,0.90523541
1.1518,0.89700294
1.15185,0.88776386
1.1519,0.89266133
1.15195,0.90039355
1.152,0.89501435
1.15205,0.88068628
1.1521,0.88211906
1.15215,0.87877172
1.1522,0.88796765
1.15225,0.90233278
1.1523,0.90257978
1.15235,0.89723766
1.1524,0.88747972
1.15245,0.8932851
1.1525,0.89911515
1.15255,0.88240314
1.1526,0.8803404
1.15265,0.8871401
1.1527,0.8919943
1.15275,0.89034534
1.1528,0.88827646
1.15285,0.88827646
1.1529,0.88197702
1.15295,0.8836754
1.153,0.89519346
1.15305,0.90542072
1.1531,0.90502542
1.15315,0.88793677
1.1532,0.89557636
1.15325,0.9022401
1.1533,0.88961661
1.15335,0.88567638
1.1534,0.89087033
1.15345,0.89582336
1.1535,0.89976978
1.15355,0.8983987
1.1536,0.89855927
1.15365,0.90566158
1.1537,0.90798986
1.15375,0.90049851
1.1538,0.89972651
1.15385,0.89836168
1.1539,0.88843703
1.15395,0.89393353
1.154,0.89498347
1.15405,0.88550961
1.1541,0.89540339
1.15415,0.89895457
1.1542,0.88977098
1.15425,0.89442146
1.1543,0.89846665
1.15435,0.88417566
1.1544,0.8758629
1.15445,0.87336785
1.1545,0.864981
1.15455,0.91585797
1.1546,0.89230311
1.15465,0.8680504
1.1547,0.91235006
1.15475,0.89591599
1.1548,0.86723518
1.15485,0.88192147
1.1549,0.8829096
1.15495,0.90355557
1.155,0.87609756
1.15505,0.87460917
1.1551,0.86764896
1.15515,0.83864081
1.1552,0.87168801
1.15525,0.85718703
1.1553,0.83523792
1.15535,0.88493526
1.1554,0.86947083
1.15545,0.84378535
1.1555,0.8684271
1.15555,0.87761682
1.1556,0.84679914
1.15565,0.85602593
1.1557,0.8893078
1.15575,0.85561836
1.1558,0.80519217
1.15585,0.86441898
1.1559,0.87015635
1.15595,0.82917935
1.156,0.84606421
1.15605,0.90524775
1.1561,0.90023297
1.15615,0.90031326
1.1562,0.92951286
1.15625,0.91409785
1.1563,0.91299236
1.15635,0.95114082
1.1564,0.956415
1.15645,0.94318008
1.1565,0.93031573
1.15655,0.95672381
1.1566,1.0011655
1.15665,0.98200792
1.1567,0.95557511
1.15675,0.96095431
1.1568,0.95682883
1.15685,0.94286513
1.1569,0.94019711
1.15695,0.9423402
1.157,0.92330605
1.15705,0.91442513
1.1571,0.93014896
1.15715,0.9165867
1.1572,0.88873345
1.15725,0.89169788
1.1573,0.88294047
1.15735,0.86085546
1.1574,0.84902251
1.15745,0.82549852
1.1575,0.82210797
1.15755,0.82173121
1.1576,0.83823317
1.15765,0.84881252
1.1577,0.85516131
1.15775,0.87549853
1.1578,0.87129891
1.15785,0.87093455
1.1579,0.88378656
1.15795,0.87102097
1.158,0.84567517
1.15805,0.84831846
1.1581,0.87693131
1.15815,0.89452642
1.1582,0.90810102
1.15825,0.91498101
1.1583,0.91982287
1.15835,0.91123837
1.1584,0.89805907
1.15845,0.89741677
1.1585,0.90240687
1.15855,0.89067268
1.1586,0.88922751
1.15865,0.89810842
1.1587,0.90409905
1.15875,0.90190661
1.1588,0.89727473
1.15885,0.88720185
1.1589,0.8853367
1.15895,0.89121616
1.159,0.85966355
1.15905,0.84400767
1.1591,0.86559856
1.15915,0.87182385
1.1592,0.86969936
1.15925,0.87231791
1.1593,0.86820477
1.15935,0.87008846
1.1594,0.87388659
1.15945,0.88532436
1.1595,0.88743031
1.15955,0.88281077
1.1596,0.88935101
1.15965,0.90017122
1.1597,0.90923738
1.15975,0.91386312
1.1598,0.91879767
1.15985,0.92454743
1.1599,0.9151786
1.15995,0.91740191
1.16,0.92635697
1.16005,0.91706228
1.1601,0.89985007
1.16015,0.91808128
1.1602,0.92525768
1.16025,0.88644218
1.1603,0.87738836
1.16035,0.90332705
1.1604,0.89440292
1.16045,0.87563437
1.1605,0.88312572
1.16055,0.89094442
1.1606,0.86979818
1.16065,0.88306397
1.1607,0.9040311
1.16075,0.89581722
1.1608,0.88925838
1.16085,0.88497853
1.1609,0.86850739
1.16095,0.87580115
1.161,0.9001959
1.16105,0.88114947
1.1611,0.86629647
1.16115,0.91094196
1.1612,0.92436218
1.16125,0.88646692
1.1613,0.89530462
1.16135,0.92808002
1.1614,0.91791451
1.16145,0.90107906
1.1615,0.8955887
1.16155,0.89960921
1.1616,0.90021443
1.16165,0.90203631
1.1617,0.90329617
1.16175,0.89810842
1.1618,0.89634216
1.16185,0.91010821
1.1619,0.91549975
1.16195,0.90162253
1.162,0.88686836
1.16205,0.88756621
1.1621,0.87746245
1.16215,0.85833573
1.1622,0.86575913
1.16225,0.87280583
1.1623,0.85195601
1.16235,0.84531695
1.1624,0.86573446
1.16245,0.84769464
1.1625,0.82910526
1.16255,0.865228
1.1626,0.85070848
1.16265,0.81651258
1.1627,0.84595925
1.16275,0.88505882
1.1628,0.8498624
1.16285,0.8566497
1.1629,0.89196962
1.16295,0.87949431
1.163,0.87514651
1.16305,0.93273664
1.1631,0.92189181
1.16315,0.87047136
1.1632,0.89331597
1.16325,0.93316895
1.1633,0.90148664
1.16335,0.89582956
1.1634,0.93014276
1.16345,0.94256252
1.1635,0.91730928
1.16355,0.91174483
1.1636,0.93269962
1.16365,0.93410772
1.1637,0.8945573
1.16375,0.88523787
1.1638,0.94134587
1.16385,0.9199155
1.1639,0.84292686
1.16395,0.89352596
1.164,0.93506497
1.16405,0.86397433
1.1641,0.8453787
1.16415,0.90742171
1.1642,0.89662623
1.16425,0.84453261
1.1643,0.87258351
1.16435,0.89267987
1.1644,0.83344686
1.16445,0.82330608
1.1645,0.86287498
1.16455,0.88719565
1.1646,0.87538117
1.16465,0.90177691
1.1647,0.9287532
1.16475,0.91037375
1.1648,0.89342713
1.16485,0.89026505
1.1649,0.87339252
1.16495,0.86727226
1.165,0.87848765
1.16505,0.92993897
1.1651,0.94103706
1.16515,0.94006127
1.1652,0.95419168
1.16525,0.95769346
1.1653,0.93607163
1.16535,0.92292935
1.1654,0.92972898
1.16545,0.91386932
1.1655,0.89030212
1.16555,0.89056152
1.1656,0.89911515
1.16565,0.8909815
1.1657,0.88682508
1.16575,0.89542192
1.1658,0.89624333
1.16585,0.87717837
1.1659,0.88402122
1.16595,0.90488958
