time,value
0.66255,0.97026753
0.6626,1.110769
0.66265,0.90023297
0.6627,0.77192885
0.66275,0.93571341
0.6628,0.83838141
0.66285,0.71106547
0.6629,0.90968204
0.66295,1.0586137
0.663,0.88951778
0.66305,0.97039104
0.6631,1.0953602
0.66315,0.92787004
0.6632,0.79777497
0.66325,1.0026909
0.6633,1.0349909
0.66335,0.85391378
0.6634,0.88204497
0.66345,1.0160309
0.6635,0.86960053
0.66355,0.80416697
0.6636,0.97712278
0.66365,0.98308253
0.6637,0.83597285
0.66375,0.88000691
0.6638,0.94738585
0.66385,0.82797503
0.6639,0.75692147
0.66395,0.82754272
0.664,0.80626678
0.66405,0.75318503
0.6641,0.84792316
0.66415,0.90696466
0.6642,0.86713016
0.66425,0.87741303
0.6643,0.90115935
0.66435,0.84165466
0.6644,0.83452147
0.66445,0.8840521
0.6645,0.8657406
0.66455,0.83764035
0.6646,0.94923866
0.66465,1.0029998
0.6647,0.96264035
0.66475,0.9369486
0.6648,0.96393728
0.66485,0.90857041
0.6649,0.86910647
0.66495,0.9105776
0.665,0.95038116
0.66505,0.93812203
0.6651,0.93494147
0.66515,0.92610991
0.6652,0.90563685
0.66525,0.86762428
0.6653,0.86178803
0.66535,0.8420561
0.6654,0.83100122
0.66545,0.82921022
0.6655,0.83396566
0.66555,0.8377021
0.6656,0.83223641
0.66565,0.82467097
0.6657,0.82244766
0.66575,0.84171641
0.6658,0.86713016
0.66585,0.85879272
0.6659,0.85051703
0.66595,0.85619885
0.666,0.84881866
0.66605,0.87614697
0.6661,0.94099385
0.66615,0.91835916
0.6662,0.89603335
0.66625,0.93941897
0.6663,0.95927447
0.66635,0.92601728
0.6664,0.92660397
0.66645,0.92963016
0.6665,0.88871491
0.66655,0.90393847
0.6666,0.92802447
0.66665,0.90245628
0.6667,0.89905953
0.66675,0.94003654
0.6668,0.9438656
0.66685,0.92234266
0.6669,0.90804547
0.66695,0.8996771
0.667,0.85632241
0.66705,0.83998716
0.6671,0.85471666
0.66715,0.88025397
0.6672,0.86413491
0.66725,0.8533271
0.6673,0.92308372
0.66735,0.93061835
0.6674,0.87494266
0.66745,0.8699711
0.6675,0.86994022
0.66755,0.8708666
0.6676,0.87179297
0.66765,0.88250816
0.6677,0.90063441
0.66775,0.92654222
0.6678,0.92438066
0.66785,0.91823566
0.6679,0.91947085
0.66795,0.9021166
0.668,0.8515361
0.66805,0.88074803
0.6681,0.91039228
0.66815,0.90779841
0.6682,0.91128778
0.66825,0.92237353
0.6683,0.88300222
0.66835,0.86030585
0.6684,0.86679053
0.66845,0.83967835
0.6685,0.77841353
0.66855,0.89628041
0.6686,0.93994391
0.66865,0.87157685
0.6687,0.85320354
0.66875,0.91073197
0.6688,0.83211291
0.66885,0.77603585
0.6689,0.86259091
0.66895,0.91777247
0.669,0.88090241
0.66905,0.86645085
0.6691,0.90319741
0.66915,0.91638291
0.6692,0.90072703
0.66925,0.9436186
0.6693,0.9039076
0.66935,0.85641503
0.6694,0.90344441
0.66945,0.9557851
0.6695,0.92116922
0.66955,0.86098516
0.6696,0.87620872
0.66965,0.92935228
0.6697,0.9028886
0.66975,0.86191154
0.6698,0.90718085
0.66985,0.96572828
0.6699,0.89393353
0.66995,0.8075946
0.67,0.85684735
0.67005,0.9108246
0.6701,0.86339378
0.67015,0.8125971
0.6702,0.92867291
0.67025,0.95124578
0.6703,0.82161391
0.67035,0.8013261
0.6704,0.90409291
0.67045,0.8767646
0.6705,0.82096541
0.67055,0.84248841
0.6706,0.88562697
0.67065,0.89047503
0.6707,0.88185966
0.67075,0.91205978
0.6708,0.94154966
0.67085,0.9040311
0.6709,0.85045528
0.67095,0.86132485
0.671,0.89402616
0.67105,0.90847778
0.6711,0.89760822
0.67115,0.90091228
0.6712,0.91378903
0.67125,0.9222191
0.6713,0.92005754
0.67135,0.90585303
0.6714,0.90983647
0.67145,0.88528728
0.6715,0.84736735
0.67155,0.8448661
0.6716,0.90078878
0.67165,0.91814303
0.6717,0.88578135
0.67175,0.88553435
0.6718,0.8950761
0.67185,0.87358397
0.6719,0.86784041
0.67195,0.89729941
0.672,0.89890516
0.67205,0.88355803
0.6721,0.89624953
0.67215,0.90125197
0.6722,0.90156078
0.67225,0.90829247
0.6723,0.91681522
0.67235,0.91619766
0.6724,0.91150397
0.67245,0.89479816
0.6725,0.8890546
0.67255,0.90443254
0.6726,0.89325422
0.67265,0.88108772
0.6727,0.8987816
0.67275,0.90918797
0.6728,0.90498841
0.67285,0.89729941
0.6729,0.90057266
0.67295,0.87861735
0.673,0.85514897
0.67305,0.86351728
0.6731,0.87185472
0.67315,0.86645085
0.6732,0.86784041
0.67325,0.86938441
0.6733,0.87549853
0.67335,0.90004766
0.6734,0.90375322
0.67345,0.86296147
0.6735,0.84403235
0.67355,0.86953878
0.6736,0.88158178
0.67365,0.86444366
0.6737,0.8684271
0.67375,0.89436585
0.6738,0.88510203
0.67385,0.88395947
0.6739,0.92762303
0.67395,0.93531203
0.674,0.86555535
0.67405,0.85839128
0.6741,0.92450422
0.67415,0.91906941
0.6742,0.88361979
0.67425,0.91996491
0.6743,0.93429297
0.67435,0.88216847
0.6744,0.87596172
0.67445,0.92005754
0.6745,0.91999578
0.67455,0.89297628
0.6746,0.87275022
0.67465,0.8822611
0.6747,0.89257485
0.67475,0.8864916
0.6748,0.88806647
0.67485,0.88395947
0.6749,0.87645578
0.67495,0.86787128
0.675,0.85684735
0.67505,0.85453135
0.6751,0.86950791
0.67515,0.87083572
0.6752,0.85187572
0.67525,0.86824185
0.6753,0.89099997
0.67535,0.8752206
0.6754,0.86787128
0.67545,0.88479322
0.6755,0.89303803
0.67555,0.88377422
0.6756,0.88152003
0.67565,0.89297628
0.6757,0.89807141
0.67575,0.88454622
0.6758,0.89510697
0.67585,0.91026878
0.6759,0.90955853
0.67595,0.90267241
0.676,0.90245628
0.67605,0.89479816
