time,value
0.3764,0.89973271
0.37645,0.899427
0.3765,0.89540958
0.37655,0.8952058
0.3766,0.90345675
0.37665,0.90061587
0.3767,0.89089811
0.37675,0.88773912
0.3768,0.89348269
0.37685,0.88964128
0.3769,0.88703197
0.37695,0.88754767
0.377,0.88784719
0.37705,0.88423431
0.3771,0.8891812
0.37715,0.89762056
0.3772,0.89185536
0.37725,0.88480556
0.3773,0.89190477
0.37735,0.89271688
0.3774,0.89075917
0.37745,0.89124084
0.3775,0.89747232
0.37755,0.89236176
0.3776,0.89157742
0.37765,0.88746428
0.3777,0.87955916
0.37775,0.8817485
0.3778,0.89287132
0.37785,0.89063561
0.3779,0.88246495
0.37795,0.88499397
0.378,0.89785832
0.37805,0.88911325
0.3781,0.88520086
0.37815,0.88794291
0.3782,0.88683742
0.37825,0.88897121
0.3783,0.90335798
0.37835,0.90982103
0.3784,0.90584683
0.37845,0.90138167
0.3785,0.90940106
0.37855,0.89729017
0.3786,0.88667071
0.37865,0.88256371
0.3787,0.88465738
0.37875,0.88584316
0.3788,0.88878596
0.37885,0.89326966
0.3789,0.90014035
0.37895,0.89685476
0.379,0.90428436
0.37905,0.90374702
0.3791,0.89537561
0.37915,0.88962585
0.3792,0.89608276
0.37925,0.89239573
0.3793,0.8844443
0.37935,0.8831628
0.3794,0.89748776
0.37945,0.89793551
0.3795,0.89461601
0.37955,0.88850492
0.3796,0.88657808
0.37965,0.87861735
0.3797,0.88250816
0.37975,0.88903916
0.3798,0.89103705
0.37985,0.88945913
0.3799,0.897636
0.37995,0.89599627
0.38,0.8923865
0.38005,0.88040835
0.3801,0.87844753
0.38015,0.88620752
0.3802,0.89185846
0.38025,0.89069122
0.3803,0.88832891
0.38035,0.89642245
0.3804,0.90659106
0.38045,0.88887548
0.3805,0.88747668
0.38055,0.89871061
0.3806,0.89769775
0.38065,0.88907623
0.3807,0.90011561
0.38075,0.9009617
0.3808,0.87275022
0.38085,0.87302816
0.3809,0.91609573
0.38095,0.90885139
0.381,0.88675714
0.38105,0.89711416
0.3811,0.90815353
0.38115,0.88052571
0.3812,0.87275642
0.38125,0.894054
0.3813,0.88718021
0.38135,0.86312515
0.3814,0.88844937
0.38145,0.93000692
0.3815,0.90802383
0.38155,0.878429
0.3816,0.9083913
0.38165,0.90212893
0.3817,0.86158735
0.38175,0.87164474
0.3818,0.90943193
0.38185,0.88104141
0.3819,0.87388355
0.38195,0.91753471
0.382,0.91776937
0.38205,0.87113833
0.3821,0.88881373
0.38215,0.90207028
0.3822,0.86723828
0.38225,0.85699248
0.3823,0.89550221
0.38235,0.89253163
0.3824,0.87641257
0.38245,0.89119762
0.3825,0.90536511
0.38255,0.88665217
0.3826,0.89198506
0.38265,0.90485561
0.3827,0.89794171
0.38275,0.88658112
0.3828,0.89572763
0.38285,0.90157312
0.3829,0.88813132
0.38295,0.87167257
0.383,0.87699306
0.38305,0.88326472
0.3831,0.88596046
0.38315,0.89358771
0.3832,0.90189427
0.38325,0.89774716
0.3833,0.8967312
0.38335,0.89200974
0.3834,0.88631558
0.38345,0.88321221
0.3835,0.88371551
0.38355,0.89011377
0.3836,0.90368837
0.38365,0.90281445
0.3837,0.88912868
0.38375,0.8908456
0.3838,0.90176147
0.38385,0.88480556
0.3839,0.87032312
0.38395,0.88474381
0.384,0.90233582
0.38405,0.89804977
